adaptation_at_2x,ahp_relative_threshold_mv,ais_kdr_s_cm2,ais_na_s_cm2,amplitude_mv,candidate,dendrite_kdr_s_cm2,dendrite_na_s_cm2,distal_axon_kdr_s_cm2,distal_axon_na_s_cm2,frequency_hz_at_2x,half_width_ms,peak_mv,rheobase_na,score,soma_kdr_s_cm2,soma_na_s_cm2,spikes_at_2x,threshold_mv,tonic_persistence_at_2x
0.9988558352448169,-34.84096235593905,0.076,3.45,65.79206645757858,inherited_density_control,0.034,0.0,0.04,0.1,46.25,0.6749999999993861,19.341464205769924,0.04,12.46950012224594,0.0043,0.008,37,-46.45060225180867,0.9873125000019894
,-36.53835937643646,0.03,0.05,0.35493266043499716,sna_0.002_aisna_0.05_aisk_0.03,0.002,0.0,0.01,0.02,1.25,0.24999999999977263,-19.644516493243717,0.2,31.82693625519227,0.003,0.002,1,-19.999449153678714,0.003937499999883371
,,,,,sna_0.002_aisna_0.05_aisk_0.06,,,,,,,,,1000000.0,,,0,,0.0
,-41.93615187064039,0.03,0.1,1.1453927636490988,sna_0.002_aisna_0.1_aisk_0.03,0.002,0.0,0.01,0.02,1.25,0.37499999999965894,-18.667156586307346,0.12,20.09453274164454,0.003,0.002,1,-19.812549349956445,0.005718749999881752
,-30.433767547451232,0.06,0.1,14.78301376144275,sna_0.002_aisna_0.1_aisk_0.06,0.002,0.0,0.01,0.02,1.25,1.2999999999988177,-16.589630099341395,0.15,17.716211265105763,0.003,0.002,1,-31.372643860784144,0.0047187499998826606
,-36.166025464341054,0.03,0.2,18.220380945712378,sna_0.002_aisna_0.2_aisk_0.03,0.002,0.0,0.01,0.02,1.25,1.1999999999989086,-12.887624071017392,0.07,8.118717858053559,0.003,0.002,1,-31.10800501672977,0.008218749999879477
,-38.92640749493259,0.06,0.2,13.1248684500728,sna_0.002_aisna_0.2_aisk_0.06,0.002,0.0,0.01,0.02,1.25,1.0249999999990678,-15.593569312250008,0.07,9.748720700040831,0.003,0.002,1,-28.718437762322807,0.008312499999879392
1.0671785028839316,-35.244086796667546,0.03,0.4,35.8970276400143,sna_0.002_aisna_0.4_aisk_0.03,0.002,0.0,0.01,0.02,36.25,1.1249999999989768,0.03409195254795386,0.06,4.350694889428011,0.003,0.002,29,-35.86293568746635,0.977031250001952
,-36.101899424502584,0.06,0.4,33.98608336555905,sna_0.002_aisna_0.4_aisk_0.06,0.002,0.0,0.01,0.02,2.5,1.0249999999990678,-1.6263181621001468,0.06,6.994986419171727,0.003,0.002,2,-35.612401527659195,0.042374999999848416
,-28.754903878766857,0.03,0.05,12.171401690840256,sna_0.006_aisna_0.05_aisk_0.03,0.002,0.0,0.01,0.02,1.25,1.3749999999987494,-17.045962219109473,0.2,25.618412595859155,0.003,0.006,1,-29.21736390994973,0.003843749999883457
,-29.540505756038947,0.06,0.05,10.803679212354929,sna_0.006_aisna_0.05_aisk_0.06,0.002,0.0,0.01,0.02,1.25,1.2749999999988404,-18.14223386721605,0.2,26.062460821540842,0.003,0.006,1,-28.94591307957098,0.003843749999883457
,-43.043190642897,0.03,0.1,0.3204510724769918,sna_0.006_aisna_0.1_aisk_0.03,0.002,0.0,0.01,0.02,1.25,0.22499999999979536,-19.5863253535973,0.1,17.61242001771235,0.003,0.006,1,-19.90677642607429,0.0066249999998809275
,-43.384762931927206,0.06,0.1,2.1607657036935954,sna_0.006_aisna_0.1_aisk_0.06,0.002,0.0,0.01,0.02,1.25,0.474999999999568,-17.725581196502407,0.12,19.747930052920815,0.003,0.006,1,-19.886346900196003,0.005656249999881808
,-35.51757953799251,0.03,0.2,21.418944283680972,sna_0.006_aisna_0.2_aisk_0.03,0.002,0.0,0.01,0.02,1.25,1.2249999999988859,-10.948166654815559,0.07,7.3301886349472465,0.003,0.006,1,-32.36711093849653,0.008124999999879564
,-37.7877145488962,0.06,0.2,17.1431165726179,sna_0.006_aisna_0.2_aisk_0.06,0.002,0.0,0.01,0.02,1.25,1.1249999999989768,-13.369714589249943,0.07,8.563708769460751,0.003,0.006,1,-30.512831161867844,0.008187499999879506
1.0371093750047162,-35.758745110040415,0.03,0.4,36.90895324556348,sna_0.006_aisna_0.4_aisk_0.03,0.002,0.0,0.01,0.02,37.5,1.0999999999989996,1.2467146817323789,0.06,4.220170347755598,0.003,0.006,30,-35.6622385638311,0.9684062500019206
1.0841908325537886,-36.24462561241111,0.06,0.4,35.35557600760395,sna_0.006_aisna_0.4_aisk_0.06,0.002,0.0,0.01,0.02,3.75,1.0249999999990678,-0.4112433039842544,0.06,6.760280107666328,0.003,0.006,3,-35.76681931158821,0.07740624999981655
